GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US75216,75216,ZCTA5 75216,14537,1155,14537,1155,2503,450,1789,310,811,195,2430,370,2702,380,2069,323,2233,281,0,27
8600000US75217,75217,ZCTA5 75217,28447,1518,28447,1518,4999,602,3687,431,1582,317,4939,599,4987,562,4283,397,3970,484,0,30
8600000US75218,75218,ZCTA5 75218,4517,429,4517,429,1034,252,570,163,189,81,835,231,541,141,686,188,662,177,0,24
8600000US75219,75219,ZCTA5 75219,2348,505,2331,504,618,209,317,136,111,76,454,184,430,130,248,84,153,78,17,8
8600000US75220,75220,ZCTA5 75220,13614,960,13614,960,2585,352,1521,325,797,166,2508,420,2163,346,1953,316,2087,382,0,27
8600000US75223,75223,ZCTA5 75223,3509,411,3509,411,714,173,388,118,208,82,509,138,474,160,649,149,567,128,0,20
8600000US75224,75224,ZCTA5 75224,11159,976,11152,978,1795,317,1662,289,763,187,1950,308,1505,324,1815,315,1662,299,7,15
8600000US75225,75225,ZCTA5 75225,5609,440,5609,440,559,154,442,135,319,109,1152,235,1174,208,1074,265,889,165,0,24
8600000US75226,75226,ZCTA5 75226,312,139,312,139,89,69,79,54,32,31,49,40,19,30,13,21,31,37,0,13
8600000US75227,75227,ZCTA5 75227,18930,1299,18889,1301,2854,439,2439,466,1458,318,3280,440,3253,471,2707,390,2898,384,41,15
8600000US75228,75228,ZCTA5 75228,21860,1230,21860,1230,3620,447,3386,447,1197,240,4331,482,3716,500,2820,418,2790,398,0,30
8600000US75229,75229,ZCTA5 75229,8487,552,8487,552,1304,230,1052,199,460,128,1814,256,1277,207,1328,212,1252,198,0,27
8600000US75230,75230,ZCTA5 75230,5281,700,5281,700,818,244,532,180,401,165,1069,301,689,154,1025,231,747,192,0,24
8600000US75231,75231,ZCTA5 75231,9802,965,9795,963,2202,366,1647,322,638,189,1733,307,1403,250,1176,272,996,242,7,13
8600000US75232,75232,ZCTA5 75232,6479,799,6478,799,848,269,674,165,419,137,1208,236,1324,296,907,189,1098,290,1,3
8600000US75233,75233,ZCTA5 75233,4711,690,4711,690,873,242,731,200,166,95,869,228,734,188,780,178,558,150,0,20
8600000US75234,75234,ZCTA5 75234,7442,447,7442,447,991,209,829,219,500,153,1409,196,1179,205,1127,184,1407,230,0,24
8600000US75235,75235,ZCTA5 75235,4596,1000,4540,1000,918,382,362,168,223,150,971,306,881,286,561,209,624,221,56,70
8600000US75236,75236,ZCTA5 75236,5558,658,5558,658,757,222,803,227,353,160,954,235,941,219,896,278,854,216,0,20
8600000US75237,75237,ZCTA5 75237,5960,843,5960,843,1298,293,803,271,410,159,1026,281,760,239,1009,249,654,223,0,20
