GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US75114,75114,ZCTA5 75114,1410,294,1410,294,79,48,154,86,61,40,240,90,249,89,307,98,320,114,0,13
8600000US75115,75115,ZCTA5 75115,12677,767,12677,767,1177,323,1134,245,676,215,2398,444,2139,383,1970,297,3183,376,0,27
8600000US75116,75116,ZCTA5 75116,6203,565,6203,565,976,247,1057,217,410,175,948,294,1040,224,756,216,1016,265,0,24
8600000US75117,75117,ZCTA5 75117,664,149,664,149,123,68,62,47,48,31,131,51,63,34,125,62,112,51,0,13
8600000US75119,75119,ZCTA5 75119,7389,526,7389,526,957,188,707,180,420,156,1491,270,995,213,1480,271,1339,273,0,24
8600000US75124,75124,ZCTA5 75124,939,186,938,185,213,90,54,44,39,24,130,56,166,79,171,50,165,69,1,4
8600000US75125,75125,ZCTA5 75125,1933,543,1933,543,245,126,235,85,114,77,231,132,361,170,309,167,438,169,0,18
8600000US75126,75126,ZCTA5 75126,10980,557,10980,557,1702,246,1473,248,637,179,1751,317,1923,254,1591,277,1903,262,0,27
8600000US75127,75127,ZCTA5 75127,379,129,379,129,49,36,20,16,11,11,43,25,73,40,94,46,89,42,0,13
8600000US75132,75132,ZCTA5 75132,84,78,84,78,15,23,44,54,0,13,21,33,4,8,0,13,0,13,0,13
8600000US75134,75134,ZCTA5 75134,6279,600,6272,602,1183,255,731,218,550,194,698,187,954,208,1013,287,1143,298,7,30
8600000US75135,75135,ZCTA5 75135,1526,288,1526,288,91,48,169,67,128,64,328,91,271,93,264,98,275,102,0,18
